annu_audios,annu_sign_text
Osprey_Dr,Osprey Dr.
No_1749,1749
4th_Ave,4th Ave.
Stratford_Rd,Stratford Road
Richmond_BART,Richmond BART
Argyle_Rd,Argyle Road
Airport_Dr,Airport Dr.
No_1151,1151
Anza_Ave,Anza Ave.
Market_Ave,Market Ave.
Gresel_St,Gresel St.
Bengal_Ave,Bengal Ave.
DUBLIN_PLEASANTON_BART,Dublin/Pleasanton BART
DUMBARTON_CT,Dumbarton Ct.
Scout_Rd,Scout Road
Heather_Walk,Heather Walk
Oakport_St,Oakport St.
Vista_Ave,Vista Ave.
Washington_St,Washington St.
62nd_St,62nd St.
Baine_Ave,Baine Ave.
Jenkins_Way,Jenkins Way
LINCOLN_MIDDLE_SCHOOL,Lincoln Middle School
LEONA_DR,Leona Dr.
Benton_St,Benton St.
Keller_Ave,Keller Ave.
2nd_Ave,2nd Avenue
Robinson_Dr,Robinson Dr.
Channing_Way,Channing Way
Sueirro_St,Sueirro St.
Garfield_Ave,Garfield Ave.
Fremont_Ave,Fremont Ave.
Verrada_Rd,Verrada Road
Neptune_Dr,Neptune Dr.
Howe_St,Howe St.
Mabel_Ave,Mabel Ave.
Sequoia_Rd,Sequoia Road
Clinton_Ave,Clinton Ave.
Arlington_Ave,Arlington Ave.
Cherry_St,Cherry St.
Ensenada_Ave,Ensenada Ave.
50th_St,50th St.
Fairmount_Ave,Fairmount Ave.
Dana_St,Dana St.
LAKE_MERRITT_BART,Lake Merritt BART
25th_Ave,25th Ave.
Eddy_St,Eddy St.
Kinkead_Way,Kinkead Way
Atherton_St,Atherton St.
Oleander_St,Oleander St.
Harmon_Ave,Harmon Ave.
Wellington_St,Wellington St.
TONE_5,Virtual Stop for D2 Garage
14th_Ave,14th Ave.
Lake_Chabot_Rd,Lake Chabot Road
Grand_St,Grand St.
E_9th_St,East 9th St.
Greenpark_Dr,Greenpark Dr.
Moraga_Ave,Moraga Ave.
State_St,State St.
No_804,804
Deep_Creek_Rd,Deep Creek Road
Dyer_St,Dyer St.
Ruschin_Dr,Ruschin Dr.
Sanborn_Dr,Sanborn Dr.
Windfeldt_Rd,Windfeldt Road
BAY_FAIR_BART,Bay Fair BART
Brookside_Ave,Brookside Ave.
Linnea_Ave,Linnea Ave.
Monte_Vista_Ave,Monte Vista Ave.
San_Benito_Rd,San Benito Road
Blossom_Way,Blossom Way
Norbridge_Ave,Norbridge Ave.
Wiley_St,Wiley St.
Fairfax_Ave,Fairfax Ave.
Burlington_St,Burlington St.
NORTH_BERKELEY_BART,North Berkeley BART
Mc_Bryde_Ave,McBryde Ave.
Avon_Ave,Avon Ave.
Glen_Park_Rd,Glen Park Road
Bolero_Ave,Bolero Ave.
Serra_Way,Serra Way
Via_Chiquita,Via Chiquita
Caldecott_Ln,Caldecott Lane
Campbell_St,Campbell St.
Highland_Ave,Highland Ave.
Sunnyhills_Rd,Sunnyhills Road
Hearst_Ave,Hearst Ave.
39th_Ave,39th Avenue
Fran_Way,Fran Way
73rd_Ave,73rd Avenue
Harlan_St,Harlan St.
KOREMATSU_MIDDLE_SCHOOL,Korematsu Middle School
Chambosse_Dr,Chambosse Dr.
Orchard_Ave,Orchard Ave.
Griffith_St,Griffith St.
Snell_St,Snell St.
Adams_Ave,Adams Ave.
Millsbrae_Ave,Millsbrae Ave.
Enterprise_Dr,Enterprise Dr.
Ethel_St,Ethel St.
Henry_St,Henry St.
East_Ave,East Ave.
Alcatraz_Ave,Alcatraz Ave.
Dover_St,Dover St.
Commerce_Pl,Commerce Pl.
Van_Dyke_Ave,Van Dyke Ave.
Fernside_Blvd,Fernside Blvd.
LINCOLN_SQUARE,Lincoln Square
47th_St,47th St.
Lawton_Ave,Lawton Ave.
Vallejo_St,Vallejo St.
MacArthur_Blvd,MacArthur Blvd.
Claremont_Blvd,Claremont Blvd.
33rd_St,33rd St.
Potrero_Ave,Potrero Ave.
Northport_Loop_W,Northport Loop West
Carson_St,Carson St.
Tevis_St,Tevis St.
Hegenberger_Lp,Hegenberger Loop
Oak_Hill_Rd,Oak Hill Road
Pierce_Ave,Pierce Ave.
Santa_Fe_Ave,Santa Fe Ave.
Meyers_Dr,Meyers Dr.
Ocaso_Camino,Ocaso Camino
Easter_Way,Easter Way
S_35th_St,South 35th St.
18th_St,18th St.
Tanglewood_Dr,Tanglewood Dr.
Mason_Dr,Mason Dr.
Boden_Way,Boden Way
Chadbourne_Dr,Chadbourne Dr.
Rose_Ave,Rose Ave.
Industrial_Pkwy_Sw,Industrial Parkway Southwest
Via_Arriba,Via Arriba
